"a-1_number_of_villages,_towns,_households,_population_and_area",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,source_dataset
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.,census
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,,census
09,179,00917,SUB-DISTRICT,Lambhua,Urban,0,0,1,1294,8927,4598,4329,1.69,5282,census
09,179,00918,SUB-DISTRICT,Kadipur ,Total,351,4,2,78587,523506,264122,259384,618.6488015346976,846,census
09,179,00918,SUB-DISTRICT,Kadipur ,Rural,351,4,0,75387,501485,252791,248694,608.6488015346976,824,census
09,179,00918,SUB-DISTRICT,Kadipur ,Urban,0,0,2,3200,22021,11331,10690,10,2202,census
09,180,00000,DISTRICT,Bahraich,Total,1359,31,5,603754,3487731,1843884,1643847,5237,666,census
09,180,00000,DISTRICT,Bahraich,Rural,1359,31,0,557893,3203687,1695122,1508565,5205.74,615,census
09,180,00000,DISTRICT,Bahraich,Urban,0,0,5,45861,284044,148762,135282,31.26,9087,census
09,180,00919,SUB-DISTRICT,Nanpara ,Total,410,15,2,223852,1272045,671899,600146,2356.955133791301,540,census
09,180,00919,SUB-DISTRICT,Nanpara ,Rural,410,15,0,213441,1207263,638132,569131,2349.5351337913007,514,census
09,180,00919,SUB-DISTRICT,Nanpara ,Urban,0,0,2,10411,64782,33767,31015,7.42,8731,census
09,180,00920,SUB-DISTRICT,Mahasi,Total,225,10,0,98029,546995,290355,256640,950.633199138855,575,census
09,180,00920,SUB-DISTRICT,Mahasi,Rural,225,10,0,98029,546995,290355,256640,950.633199138855,575,census
09,180,00920,SUB-DISTRICT,Mahasi,Urban,0,0,0,0,0,0,0,0,0,census
09,180,00921,SUB-DISTRICT,Bahraich,Total,292,1,2,143683,843905,445832,398073,870.0169956947753,970,census
09,180,00921,SUB-DISTRICT,Bahraich,Rural,292,1,0,111004,643932,341030,302902,849.1769956947753,758,census
09,180,00921,SUB-DISTRICT,Bahraich,Urban,0,0,2,32679,199973,104802,95171,20.84,9596,census
09,180,00922,SUB-DISTRICT,Kaiserganj,Total,432,5,1,138190,824786,435798,388988,1059.4003966602254,779,census
09,180,00922,SUB-DISTRICT,Kaiserganj,Rural,432,5,0,135419,805497,425605,379892,1056.4003966602254,762,census
09,180,00922,SUB-DISTRICT,Kaiserganj,Urban,0,0,1,2771,19289,10193,9096,3,6430,census
09,181,00000,DISTRICT,Shrawasti,Total,509,32,2,188289,1117361,593897,523464,1640,681,census
09,181,00000,DISTRICT,Shrawasti,Rural,509,32,0,182331,1078712,573681,505031,1633.78,660,census
09,181,00000,DISTRICT,Shrawasti,Urban,0,0,2,5958,38649,20216,18433,6.22,6214,census
09,181,00923,SUB-DISTRICT,Bhinga,Total,283,27,1,113170,681465,362879,318586,1131.610627611325,602,census
09,181,00923,SUB-DISTRICT,Bhinga,Rural,283,27,0,109529,657685,350403,307282,1126.110627611325,584,census
09,181,00923,SUB-DISTRICT,Bhinga,Urban,0,0,1,3641,23780,12476,11304,5.5,4324,census
09,181,00924,SUB-DISTRICT,Ikauna,Total,226,5,1,75119,435896,231018,204878,508.38602425617137,857,census
09,181,00924,SUB-DISTRICT,Ikauna,Rural,226,5,0,72802,421027,223278,197749,507.66602425617134,829,census
09,181,00924,SUB-DISTRICT,Ikauna,Urban,0,0,1,2317,14869,7740,7129,0.72,20651,census
09,182,00000,DISTRICT,Balrampur,Total,998,17,6,323881,2148665,1114721,1033944,3349,642,census
09,182,00000,DISTRICT,Balrampur,Rural,998,17,0,298368,1982274,1027943,954331,3290.54,602,census
09,182,00000,DISTRICT,Balrampur,Urban,0,0,6,25513,166391,86778,79613,58.46,2846,census
09,182,00925,SUB-DISTRICT,Balrampur,Total,263,3,2,104998,666644,353567,313077,1074.3770956810292,620,census
09,182,00925,SUB-DISTRICT,Balrampur,Rural,263,3,0,91629,579854,308288,271566,1029.2670956810293,563,census
09,182,00925,SUB-DISTRICT,Balrampur,Urban,0,0,2,13369,86790,45279,41511,45.11,1924,census
09,182,00926,SUB-DISTRICT,Tulsipur,Total,376,10,3,114024,779179,407309,371870,1536.847477439785,507,census
09,182,00926,SUB-DISTRICT,Tulsipur,Rural,376,10,0,106822,731723,382431,349292,1527.9974774397851,479,census
09,182,00926,SUB-DISTRICT,Tulsipur,Urban,0,0,3,7202,47456,24878,22578,8.85,5362,census
09,182,00927,SUB-DISTRICT,Utraula,Total,359,4,1,104859,702842,353845,348997,737.7718612291184,953,census
09,182,00927,SUB-DISTRICT,Utraula,Rural,359,4,0,99917,670697,337224,333473,733.2718612291184,915,census
09,182,00927,SUB-DISTRICT,Utraula,Urban,0,0,1,4942,32145,16621,15524,4.5,7143,census
09,183,00000,DISTRICT,Gonda,Total,1812,5,10,541247,3433919,1787146,1646773,4003,858,census
09,183,00000,DISTRICT,Gonda,Rural,1812,5,0,504278,3208890,1669058,1539832,3952.43,812,census
09,183,00000,DISTRICT,Gonda,Urban,0,0,10,36969,225029,118088,106941,50.57,4450,census
09,183,00928,SUB-DISTRICT,Gonda ,Total,589,0,5,183659,1169971,612936,557035,1174.6088955068751,996,census
09,183,00928,SUB-DISTRICT,Gonda ,Rural,589,0,0,158330,1016258,531949,484309,1137.868895506875,893,census
09,183,00928,SUB-DISTRICT,Gonda ,Urban,0,0,5,25329,153713,80987,72726,36.74,4184,census
09,183,00929,SUB-DISTRICT,Colonelganj ,Total,387,0,2,136067,855636,448507,407129,1032.6693838939354,829,census
09,183,00929,SUB-DISTRICT,Colonelganj ,Rural,387,0,0,130462,818093,428912,389181,1030.5693838939355,794,census
09,183,00929,SUB-DISTRICT,Colonelganj ,Urban,0,0,2,5605,37543,19595,17948,2.1,17878,census
09,183,00930,SUB-DISTRICT,Tarabganj,Total,359,3,1,119931,761822,393611,368211,1069.6036881940406,712,census
09,183,00930,SUB-DISTRICT,Tarabganj,Rural,359,3,0,117157,744508,384625,359883,1066.0936881940406,698,census
09,183,00930,SUB-DISTRICT,Tarabganj,Urban,0,0,1,2774,17314,8986,8328,3.51,4933,census
09,183,00931,SUB-DISTRICT,Mankapur ,Total,477,2,2,101590,646490,332092,314398,726.1209147198832,890,census
09,183,00931,SUB-DISTRICT,Mankapur ,Rural,477,2,0,98329,630031,323572,306459,717.9009147198832,878,census
09,183,00931,SUB-DISTRICT,Mankapur ,Urban,0,0,2,3261,16459,8520,7939,8.22,2002,census
09,184,00000,DISTRICT,Siddharthnagar,Total,2336,169,8,379351,2559297,1295095,1264202,2895,884,census
09,184,00000,DISTRICT,Siddharthnagar,Rural,2336,169,0,355461,2398606,1212141,1186465,2837.88,845,census
09,184,00000,DISTRICT,Siddharthnagar,Urban,0,0,8,23890,160691,82954,77737,57.12,2813,census
09,184,00932,SUB-DISTRICT,Shohratgarh,Total,351,15,2,63819,420532,213731,206801,518.7328612605434,811,census
09,184,00932,SUB-DISTRICT,Shohratgarh,Rural,351,15,0,60364,396714,201476,195238,509.98286126054336,778,census
09,184,00932,SUB-DISTRICT,Shohratgarh,Urban,0,0,2,3455,23818,12255,11563,8.75,2722,census
09,184,00933,SUB-DISTRICT,Naugarh,Total,453,26,2,91915,610441,313404,297037,644.5902080243868,947,census
09,184,00933,SUB-DISTRICT,Naugarh,Rural,453,26,0,84233,560575,287566,273009,625.5902080243868,896,census
09,184,00933,SUB-DISTRICT,Naugarh,Urban,0,0,2,7682,49866,25838,24028,19,2625,census
09,184,00934,SUB-DISTRICT,Bansi,Total,707,69,1,89084,598222,301425,296797,640.6840402685649,934,census
09,184,00934,SUB-DISTRICT,Bansi,Rural,707,69,0,82932,557165,280320,276845,627.6840402685649,888,census
09,184,00934,SUB-DISTRICT,Bansi,Urban,0,0,1,6152,41057,21105,19952,13,3158,census
09,184,00935,SUB-DISTRICT,Itwa,Total,433,26,1,66797,454240,225653,228587,585.5107158660403,776,census
09,184,00935,SUB-DISTRICT,Itwa,Rural,433,26,0,65714,445987,221399,224588,583.2507158660403,765,census
09,184,00935,SUB-DISTRICT,Itwa,Urban,0,0,1,1083,8253,4254,3999,2.26,3652,census
09,184,00936,SUB-DISTRICT,Domariyaganj,Total,392,33,2,67736,475862,240882,234980,505.48090221625625,941,census
09,184,00936,SUB-DISTRICT,Domariyaganj,Rural,392,33,0,62218,438165,221380,216785,491.37090221625624,892,census
09,184,00936,SUB-DISTRICT,Domariyaganj,Urban,0,0,2,5518,37697,19502,18195,14.11,2672,census
09,185,00000,DISTRICT,Basti,Total,3160,188,3,382212,2464464,1255272,1209192,2688,917,census
09,185,00000,DISTRICT,Basti,Rural,3160,188,0,360637,2326367,1182846,1143521,2662.04,874,census
09,185,00000,DISTRICT,Basti,Urban,0,0,3,21575,138097,72426,65671,25.96,5320,census
09,185,00937,SUB-DISTRICT,Bhanpur,Total,419,16,0,54954,358572,179997,178575,417.32847572463584,859,census
09,185,00937,SUB-DISTRICT,Bhanpur,Rural,419,16,0,54954,358572,179997,178575,417.32847572463584,859,census
09,185,00937,SUB-DISTRICT,Bhanpur,Urban,0,0,0,0,0,0,0,0,0,census
09,185,00938,SUB-DISTRICT,Harraiya,Total,1457,70,2,147127,950401,483527,466874,1213.3255446245944,783,census
09,185,00938,SUB-DISTRICT,Harraiya,Rural,1457,70,0,143446,926961,471196,455765,1206.8355446245944,768,census
09,185,00938,SUB-DISTRICT,Harraiya,Urban,0,0,2,3681,23440,12331,11109,6.49,3612,census
09,185,00939,SUB-DISTRICT,Basti,Total,1027,75,1,149064,949461,488808,460653,828.5290446582384,1146,census
09,185,00939,SUB-DISTRICT,Basti,Rural,1027,75,0,131170,834804,428713,406091,809.0590446582383,1032,census
09,185,00939,SUB-DISTRICT,Basti,Urban,0,0,1,17894,114657,60095,54562,19.47,5889,census
09,185,00940,SUB-DISTRICT,Rudhauli,Total,257,27,0,31067,206030,102940,103090,228.80522562402297,900,census
09,185,00940,SUB-DISTRICT,Rudhauli,Rural,257,27,0,31067,206030,102940,103090,228.80522562402297,900,census
09,185,00940,SUB-DISTRICT,Rudhauli,Urban,0,0,0,0,0,0,0,0,0,census
09,186,00000,DISTRICT,Sant Kabir Nagar,Total,1582,144,6,256645,1715183,869656,845527,1646,1042,census
09,186,00000,DISTRICT,Sant Kabir Nagar,Rural,1582,144,0,237921,1586652,802609,784043,1620,979,census
09,186,00000,DISTRICT,Sant Kabir Nagar,Urban,0,0,6,18724,128531,67047,61484,26,4944,census
09,186,00941,SUB-DISTRICT,Mehdawal,Total,454,64,1,71175,475229,240045,235184,477.8833189971179,994,census
09,186,00941,SUB-DISTRICT,Mehdawal,Rural,454,64,0,66940,447332,225655,221677,474.8833189971179,942,census
09,186,00941,SUB-DISTRICT,Mehdawal,Urban,0,0,1,4235,27897,14390,13507,3,9299,census
09,186,00942,SUB-DISTRICT,Khalilabad,Total,594,35,4,105545,722332,367140,355192,586.2401597729215,1232,census
09,186,00942,SUB-DISTRICT,Khalilabad,Rural,594,35,0,92693,632983,320281,312702,572.2401597729215,1106,census
09,186,00942,SUB-DISTRICT,Khalilabad,Urban,0,0,4,12852,89349,46859,42490,14,6382,census
09,186,00943,SUB-DISTRICT,Ghanghata,Total,534,45,1,79925,517622,262471,255151,581.8705128093268,890,census
09,186,00943,SUB-DISTRICT,Ghanghata,Rural,534,45,0,78288,506337,256673,249664,572.8705128093268,884,census
09,186,00943,SUB-DISTRICT,Ghanghata,Urban,0,0,1,1637,11285,5798,5487,9,1254,census
09,187,00000,DISTRICT,Mahrajganj,Total,1212,50,7,426565,2684703,1381754,1302949,2952,909,census
09,187,00000,DISTRICT,Mahrajganj,Rural,1212,50,0,404790,2549973,1312126,1237847,2897.89,880,census
09,187,00000,DISTRICT,Mahrajganj,Urban,0,0,7,21775,134730,69628,65102,54.11,2490,census
09,187,00944,SUB-DISTRICT,Nautanwa,Total,263,3,2,78074,511045,264076,246969,662.7397005776083,771,census
09,187,00944,SUB-DISTRICT,Nautanwa,Rural,263,3,0,71635,471006,243472,227534,653.1997005776084,721,census
09,187,00944,SUB-DISTRICT,Nautanwa,Urban,0,0,2,6439,40039,20604,19435,9.54,4197,census
09,187,00945,SUB-DISTRICT,Nichlaul,Total,282,32,2,88965,539761,277461,262300,696.7711279790904,775,census
09,187,00945,SUB-DISTRICT,Nichlaul,Rural,282,32,0,82726,500384,257089,243295,682.2011279790903,733,census
09,187,00945,SUB-DISTRICT,Nichlaul,Urban,0,0,2,6239,39377,20372,19005,14.57,2703,census
09,187,00946,SUB-DISTRICT,Pharenda,Total,225,8,1,76670,487236,252587,234649,499.0583055589349,976,census
09,187,00946,SUB-DISTRICT,Pharenda,Rural,225,8,0,75070,477123,247284,229839,495.0583055589349,964,census
09,187,00946,SUB-DISTRICT,Pharenda,Urban,0,0,1,1600,10113,5303,4810,4,2528,census
09,187,00947,SUB-DISTRICT,Maharajganj,Total,442,7,2,182856,1146661,587630,559031,1093.4337123003957,1049,census
09,187,00947,SUB-DISTRICT,Maharajganj,Rural,442,7,0,175359,1101460,564281,537179,1067.4337123003957,1032,census
09,187,00947,SUB-DISTRICT,Maharajganj,Urban,0,0,2,7497,45201,23349,21852,26,1739,census
09,188,00000,DISTRICT,Gorakhpur,Total,2937,382,14,692960,4440895,2277777,2163118,3321,1337,census
09,188,00000,DISTRICT,Gorakhpur,Rural,2937,382,0,554999,3604766,1838726,1766040,3106.35,1160,census
09,188,00000,DISTRICT,Gorakhpur,Urban,0,0,14,137961,836129,439051,397078,214.65,3895,census
09,188,00948,SUB-DISTRICT,Campierganj,Total,202,15,1,63385,395143,204551,190592,360.1500856149719,1097,census
09,188,00948,SUB-DISTRICT,Campierganj,Rural,202,15,0,61085,381626,197439,184187,354.1500856149719,1078,census
09,188,00948,SUB-DISTRICT,Campierganj,Urban,0,0,1,2300,13517,7112,6405,6,2253,census
09,188,00949,SUB-DISTRICT,Sahjanwa,Total,302,45,2,61707,393807,203111,190696,345.5341593973896,1140,census
09,188,00949,SUB-DISTRICT,Sahjanwa,Rural,302,45,0,55430,354651,182456,172195,319.5341593973896,1110,census
09,188,00949,SUB-DISTRICT,Sahjanwa,Urban,0,0,2,6277,39156,20655,18501,26,1506,census
09,188,00950,SUB-DISTRICT,Gorakhpur,Total,440,69,7,264606,1629421,848449,780972,840.146625725105,1939,census
09,188,00950,SUB-DISTRICT,Gorakhpur,Rural,440,69,0,143927,906721,468602,438119,674.246625725105,1345,census
09,188,00950,SUB-DISTRICT,Gorakhpur,Urban,0,0,7,120679,722700,379847,342853,165.9,4356,census
09,188,00951,SUB-DISTRICT,Chauri Chaura,Total,205,11,1,71660,453414,230232,223182,370.10796169238984,1225,census
09,188,00951,SUB-DISTRICT,Chauri Chaura,Rural,205,11,0,69977,442596,224553,218043,364.10796169238984,1216,census
09,188,00951,SUB-DISTRICT,Chauri Chaura,Urban,0,0,1,1683,10818,5679,5139,6,1803,census
09,188,00952,SUB-DISTRICT,Bansgaon,Total,468,80,1,65812,447172,224553,222619,504.96368886141386,886,census
09,188,00952,SUB-DISTRICT,Bansgaon,Rural,468,80,0,63686,431859,216626,215233,504.21368886141386,856,census
09,188,00952,SUB-DISTRICT,Bansgaon,Urban,0,0,1,2126,15313,7927,7386,0.75,20417,census
09,188,00953,SUB-DISTRICT,Khajni,Total,694,75,0,87546,583987,296820,287167,394.7956274352607,1479,census
09,188,00953,SUB-DISTRICT,Khajni,Rural,694,75,0,87546,583987,296820,287167,394.7956274352607,1479,census
09,188,00953,SUB-DISTRICT,Khajni,Urban,0,0,0,0,0,0,0,0,0,census
09,188,00954,SUB-DISTRICT,Gola ,Total,626,87,2,78244,537951,270061,267890,505.30527920502595,1065,census
09,188,00954,SUB-DISTRICT,Gola ,Rural,626,87,0,73348,503326,252230,251096,495.30527920502595,1016,census
09,188,00954,SUB-DISTRICT,Gola ,Urban,0,0,2,4896,34625,17831,16794,10,3463,census
09,189,00000,DISTRICT,Kushinagar,Total,1579,60,8,561062,3564544,1818055,1746489,2905,1227,census
09,189,00000,DISTRICT,Kushinagar,Rural,1579,60,0,533834,3396437,1730377,1666060,2840.3,1196,census
09,189,00000,DISTRICT,Kushinagar,Urban,0,0,8,27228,168107,87678,80429,64.7,2598,census
09,189,00955,SUB-DISTRICT,Padrauna,Total,519,39,2,176775,1126539,579857,546682,1013.5218614939345,1112,census
09,189,00955,SUB-DISTRICT,Padrauna,Rural,519,39,0,166056,1060699,545755,514944,1001.6318614939345,1059,census
09,189,00955,SUB-DISTRICT,Padrauna,Urban,0,0,2,10719,65840,34102,31738,11.89,5537,census
09,189,00956,SUB-DISTRICT,Hata,Total,402,0,3,154231,956312,484205,472107,775.9838984850094,1232,census
09,189,00956,SUB-DISTRICT,Hata,Rural,402,0,0,145732,905552,457438,448114,753.7838984850093,1201,census
09,189,00956,SUB-DISTRICT,Hata,Urban,0,0,3,8499,50760,26767,23993,22.2,2286,census
09,189,00957,SUB-DISTRICT,Kasya,Total,286,9,2,93716,614143,311131,303012,448.9250537720191,1368,census
09,189,00957,SUB-DISTRICT,Kasya,Rural,286,9,0,89271,585713,296432,289281,426.3150537720191,1374,census
09,189,00957,SUB-DISTRICT,Kasya,Urban,0,0,2,4445,28430,14699,13731,22.61,1257,census
09,189,00958,SUB-DISTRICT,Tamkuhi Raj,Total,372,12,1,136340,867550,442862,424688,666.5694875133742,1302,census
09,189,00958,SUB-DISTRICT,Tamkuhi Raj,Rural,372,12,0,132775,844473,430752,413721,658.5694875133742,1282,census
09,189,00958,SUB-DISTRICT,Tamkuhi Raj,Urban,0,0,1,3565,23077,12110,10967,8,2885,census
09,190,00000,DISTRICT,Deoria,Total,2019,143,10,468346,3100946,1537436,1563510,2540,1221,census
09,190,00000,DISTRICT,Deoria,Rural,2019,143,0,420650,2784143,1373111,1411032,2463.08,1130,census
09,190,00000,DISTRICT,Deoria,Urban,0,0,10,47696,316803,164325,152478,76.92,4119,census
09,190,00959,SUB-DISTRICT,Deoria,Total,686,15,3,189288,1237450,617458,619992,926.5102821948468,1336,census
09,190,00959,SUB-DISTRICT,Deoria,Rural,686,15,0,166704,1091560,541510,550050,908.1602821948468,1202,census
09,190,00959,SUB-DISTRICT,Deoria,Urban,0,0,3,22584,145890,75948,69942,18.35,7950,census
09,190,00960,SUB-DISTRICT,Rudrapur,Total,274,19,1,64831,439763,218712,221051,395.57849528678673,1112,census
09,190,00960,SUB-DISTRICT,Rudrapur,Rural,274,19,0,59996,405749,201074,204675,379.57849528678673,1069,census
09,190,00960,SUB-DISTRICT,Rudrapur,Urban,0,0,1,4835,34014,17638,16376,16,2126,census
09,190,00961,SUB-DISTRICT,Barhaj,Total,265,28,1,56251,369994,182444,187550,374.07503004342857,989,census
09,190,00961,SUB-DISTRICT,Barhaj,Rural,265,28,0,50891,333535,163278,170257,366.07503004342857,911,census
09,190,00961,SUB-DISTRICT,Barhaj,Urban,0,0,1,5360,36459,19166,17293,8,4557,census
09,190,00962,SUB-DISTRICT,Salempur,Total,471,51,4,91896,604483,298212,306271,484.6598234975457,1247,census
09,190,00962,SUB-DISTRICT,Salempur,Rural,471,51,0,79180,518882,254331,264551,454.0898234975457,1143,census
09,190,00962,SUB-DISTRICT,Salempur,Urban,0,0,4,12716,85601,43881,41720,30.57,2800,census
09,190,00963,SUB-DISTRICT,Bhatpar Rani,Total,323,30,1,66080,449256,220610,228646,359.17441800584044,1251,census
09,190,00963,SUB-DISTRICT,Bhatpar Rani,Rural,323,30,0,63879,434417,212918,221499,355.17441800584044,1223,census
09,190,00963,SUB-DISTRICT,Bhatpar Rani,Urban,0,0,1,2201,14839,7692,7147,4,3710,census
09,191,00000,DISTRICT,Azamgarh,Total,3800,301,20,665232,4613913,2285004,2328909,4054,1138,census
09,191,00000,DISTRICT,Azamgarh,Rural,3800,301,0,611588,4220512,2082707,2137805,3967.23,1064,census
09,191,00000,DISTRICT,Azamgarh,Urban,0,0,20,53644,393401,202297,191104,86.77,4534,census
09,191,00964,SUB-DISTRICT,Burhanpur,Total,466,23,1,68215,459068,225693,233375,422.9071901675325,1086,census
09,191,00964,SUB-DISTRICT,Burhanpur,Rural,466,23,0,66880,449694,220894,228800,420.9071901675325,1068,census
09,191,00964,SUB-DISTRICT,Burhanpur,Urban,0,0,1,1335,9374,4799,4575,2,4687,census
09,191,00965,SUB-DISTRICT,Sagri,Total,882,91,4,132228,901483,448529,452954,881.2539768933905,1023,census
09,191,00965,SUB-DISTRICT,Sagri,Rural,882,91,0,126253,857676,426359,431317,857.6439768933905,1000,census
09,191,00965,SUB-DISTRICT,Sagri,Urban,0,0,4,5975,43807,22170,21637,23.61,1855,census
09,191,00966,SUB-DISTRICT,Azamgarh ,Total,605,61,9,138449,978799,497198,481601,579.0931990200113,1690,census
09,191,00966,SUB-DISTRICT,Azamgarh ,Rural,605,61,0,102152,715365,361197,354168,543.2631990200113,1317,census
09,191,00966,SUB-DISTRICT,Azamgarh ,Urban,0,0,9,36297,263434,136001,127433,35.83,7352,census
09,191,00967,SUB-DISTRICT,Nizamabad,Total,536,27,2,84917,595715,293212,302503,486.92227196882675,1223,census
09,191,00967,SUB-DISTRICT,Nizamabad,Rural,536,27,0,80845,562812,276309,286503,480.0822719688268,1172,census
09,191,00967,SUB-DISTRICT,Nizamabad,Urban,0,0,2,4072,32903,16903,16000,6.84,4810,census
09,191,00968,SUB-DISTRICT,Phulpur ,Total,498,26,2,100052,696523,341750,354773,665.9986433009005,1046,census
09,191,00968,SUB-DISTRICT,Phulpur ,Rural,498,26,0,97761,680948,333746,347202,655.4986433009005,1039,census
09,191,00968,SUB-DISTRICT,Phulpur ,Urban,0,0,2,2291,15575,8004,7571,10.5,1483,census
09,191,00969,SUB-DISTRICT,Lalganj,Total,517,42,1,85111,581647,280992,300655,626.7922782332747,928,census
09,191,00969,SUB-DISTRICT,Lalganj,Rural,517,42,0,83306,568180,274251,293929,623.8022782332747,911,census
09,191,00969,SUB-DISTRICT,Lalganj,Urban,0,0,1,1805,13467,6741,6726,2.99,4504,census
09,191,00970,SUB-DISTRICT,Mehnagar,Total,296,31,1,56260,400678,197630,203048,391.034533550375,1025,census
09,191,00970,SUB-DISTRICT,Mehnagar,Rural,296,31,0,54391,385837,189951,195886,386.034533550375,999,census
09,191,00970,SUB-DISTRICT,Mehnagar,Urban,0,0,1,1869,14841,7679,7162,5,2968,census
09,192,00000,DISTRICT,Mau,Total,1499,111,14,324424,2205968,1114709,1091259,1713,1288,census
09,192,00000,DISTRICT,Mau,Rural,1499,111,0,253645,1706760,858843,847917,1619.79,1054,census
09,192,00000,DISTRICT,Mau,Urban,0,0,14,70779,499208,255866,243342,93.21,5356,census
09,192,00971,SUB-DISTRICT,Ghosi,Total,328,17,3,70277,467413,232720,234693,347.4779556052877,1345,census
09,192,00971,SUB-DISTRICT,Ghosi,Rural,328,17,0,62589,411215,203756,207459,330.8679556052877,1243,census
09,192,00971,SUB-DISTRICT,Ghosi,Urban,0,0,3,7688,56198,28964,27234,16.61,3383,census
09,192,00972,SUB-DISTRICT,Madhuban,Total,322,31,1,50954,334116,165929,168187,464.807774897427,719,census
09,192,00972,SUB-DISTRICT,Madhuban,Rural,322,31,0,50252,329279,163523,165756,463.787774897427,710,census
09,192,00972,SUB-DISTRICT,Madhuban,Urban,0,0,1,702,4837,2406,2431,1.02,4742,census
09,192,00973,SUB-DISTRICT,Maunath Bhanjan,Total,404,22,6,131312,910549,466838,443711,512.4246306863542,1777,census
09,192,00973,SUB-DISTRICT,Maunath Bhanjan,Rural,404,22,0,80513,558316,286220,272096,457.1346306863542,1221,census
09,192,00973,SUB-DISTRICT,Maunath Bhanjan,Urban,0,0,6,50799,352233,180618,171615,55.29,6371,census
09,192,00974,SUB-DISTRICT,Muhammadabad Gohna,Total,445,41,4,71881,493890,249222,244668,388.2865443305096,1272,census
09,192,00974,SUB-DISTRICT,Muhammadabad Gohna,Rural,445,41,0,60291,407950,205344,202606,367.9965443305096,1109,census
09,192,00974,SUB-DISTRICT,Muhammadabad Gohna,Urban,0,0,4,11590,85940,43878,42062,20.29,4236,census
09,193,00000,DISTRICT,Ballia,Total,1843,518,11,480268,3239774,1672902,1566872,2981,1087,census
09,193,00000,DISTRICT,Ballia,Rural,1843,518,0,435184,2935665,1514018,1421647,2912.8,1008,census
09,193,00000,DISTRICT,Ballia,Urban,0,0,11,45084,304109,158884,145225,68.2,4459,census
09,193,00975,SUB-DISTRICT,Belthara Road,Total,268,17,1,57235,392294,200018,192276,364.00666045845776,1078,census
09,193,00975,SUB-DISTRICT,Belthara Road,Rural,268,17,0,54141,371890,189454,182436,352.50666045845776,1055,census
09,193,00975,SUB-DISTRICT,Belthara Road,Urban,0,0,1,3094,20404,10564,9840,11.5,1774,census
09,193,00976,SUB-DISTRICT,Sikanderpur,Total,217,24,1,60360,392801,200401,192400,397.7098307494416,988,census
09,193,00976,SUB-DISTRICT,Sikanderpur,Rural,217,24,0,56794,368815,187889,180926,391.2098307494416,943,census
09,193,00976,SUB-DISTRICT,Sikanderpur,Urban,0,0,1,3566,23986,12512,11474,6.5,3690,census
09,193,00977,SUB-DISTRICT,Rasra,Total,346,54,1,81899,548010,280503,267507,530.4833458976142,1033,census
09,193,00977,SUB-DISTRICT,Rasra,Rural,346,54,0,77428,516245,263863,252382,524.4833458976142,984,census
09,193,00977,SUB-DISTRICT,Rasra,Urban,0,0,1,4471,31765,16640,15125,6,5294,census
09,193,00978,SUB-DISTRICT,Ballia,Total,527,258,4,144433,979400,512556,466844,804.3526578014382,1218,census
09,193,00978,SUB-DISTRICT,Ballia,Rural,527,258,0,123566,839511,438639,400872,779.3526578014382,1077,census
09,193,00978,SUB-DISTRICT,Ballia,Urban,0,0,4,20867,139889,73917,65972,25,5596,census
09,193,00979,SUB-DISTRICT,Bansdih,Total,377,109,4,82262,540524,278107,262417,551.7962536461202,980,census
09,193,00979,SUB-DISTRICT,Bansdih,Rural,377,109,0,69176,452459,232856,219603,532.5962536461202,850,census
09,193,00979,SUB-DISTRICT,Bansdih,Urban,0,0,4,13086,88065,45251,42814,19.2,4587,census
09,193,00980,SUB-DISTRICT,Bairia,Total,108,56,0,54079,386745,201317,185428,332.65318907903816,1163,census
09,193,00980,SUB-DISTRICT,Bairia,Rural,108,56,0,54079,386745,201317,185428,332.65318907903816,1163,census
09,193,00980,SUB-DISTRICT,Bairia,Urban,0,0,0,0,0,0,0,0,0,census
09,194,00000,DISTRICT,Jaunpur,Total,3287,94,13,663513,4494204,2220465,2273739,4038,1113,census
09,194,00000,DISTRICT,Jaunpur,Rural,3287,94,0,613244,4147624,2041217,2106407,3977.69,1043,census
09,194,00000,DISTRICT,Jaunpur,Urban,0,0,13,50269,346580,179248,167332,60.31,5747,census
09,194,00981,SUB-DISTRICT,Shahganj,Total,518,25,2,109065,761994,381889,380105,704.5601921083911,1082,census
09,194,00981,SUB-DISTRICT,Shahganj,Rural,518,25,0,102488,716000,358112,357888,694.5601921083911,1031,census
09,194,00981,SUB-DISTRICT,Shahganj,Urban,0,0,2,6577,45994,23777,22217,10,4599,census
09,194,00982,SUB-DISTRICT,Badlapur,Total,405,2,0,67625,456043,224905,231138,459.72505729426285,992,census
09,194,00982,SUB-DISTRICT,Badlapur,Rural,405,2,0,67625,456043,224905,231138,459.72505729426285,992,census
09,194,00982,SUB-DISTRICT,Badlapur,Urban,0,0,0,0,0,0,0,0,0,census
09,194,00983,SUB-DISTRICT,Machhlishahr,Total,504,9,2,109524,736209,360957,375252,811.7555232352192,907,census
